Comment,Designator,Footprint,LCSC Part #
0R,R22,R0402,
1.5uH,L1,BCIH1367-2R2M,
1k,R3,R0402,
1k,REN,R0603,
1uF,C5,C0603,
4.7uF,CVC,C0402,
5.1k,R1,R0603,
10uF,C3 C4 CIN1 CIN2 CIN3,C0805,
22uF,COUT1 COUT2 COUT3 COUT4,C1206,
27k,R2,R0603,
47nF,CSS,C0603,
100R,R16,PR-D2.7XL8.5MM,
100k,R31,R0402,
100nF,CB CEN,C0603,
100pF,CTON,C0402,
100pF,C2,C0603,
781.25k,RTON,R0603,
1715250000,J9,CONN2_250000_WED,
AOZ2255EQI-30,REG,QFN_4X4_22L-EP2_S_AOS,
AP2112K-3.3TRG1,U2,SOT_RG1_DIO,
BZX84C5V1-7-F,DEN,SOT23,
CONN_HDR_1POS_0.1,EN FB LX TON VIN,1X1,
DBF310-13,RECT,DBF_DIO,
PPTC191LFBN-RC,ESP_HDR_LEFT ESP_HDR_RIGHT,RHDR19W80P0X254_1X19_4876X254X,
VLMY1500-GS08,D7,LED_1500-GS08_VIS,
